Name,Desc,PlantType,Color,HardinessZones,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance
Achillea (Yarrow),"<p>Achillea, commonly known as Yarrow, is a genus of <strong>more than 100 species </strong>of flowering plants in the <strong>family Asteraceae</strong>, native to Europe, Asia and North America.<br/>
These aromatic and hardy perennials are widely known for their feathery, ferny and grey-green foliage and flattened flower clusters in variety of colors. They are popular as edging plants and in rock gardens, beds and borders.</p>",Perennials,"Yarrow comes in a wide range of colors including white, cream, yellow, purple, orange, pink and red.",3-9,"Spring, Summer",This plant usually grows between 30 and 90 cm (1 to 3 ft) in height.,"Achillea will grow best in well drained soil, with a pH between 5.5 and 7.0.",Full sun,low,low
Aconitum (Aconite; Monkshood; Wolfsbane),"<p>Aconitum, also known as Aconite, is a genus of <strong>more than 300 species </strong>of flowering plants in the<strong> family Ranunculaceae</strong>, native to cooler regions of the Northern Hemisphere.<br/>
These perennials are tall, upright plants that bloom in summer and autumn. The flowers are showy, hood-shaped and borne mostly in spike-like clusters. Despite its beauty, Aconitum is very poisonous so you have to be careful with it!</p>",Perennials,"The flowers come in shades of blue, purple, white, yellow, or even pink.",3-8,"Autumn, Summer","Aconite is a tall plant that grows from 30 cm (1 ft) to 180 cm (6 ft) high, depending on species.","Aconite will perform best in rich, moist and well drained soil, with a pH level between 5.0 and 6.0.","Full sun, Partial sun",avarage,medium
Agapanthus (African Lily; Lily of the Nile),"<p>Agapanthus is a genus composed of <strong>about 10 species </strong>of perennials in the <strong>family Amaryllidaceae</strong>, native to southern Africa.<br/>
The plant has round clusters of showy, brightly colored, funnel-shaped flowers on its tall and slender stem. Some species have thick strap-like foliage, while others have grass-like leaves. Agapanthus is also known as the African Lily or Lily of the Nile. It’s also been called the Flower of Love.</p>","Bulbs, Perennials","These flowers are usually blue, white and purple.",6-11,"Autumn, Summer","Agapanthus range in height from just 20 cm (8 inches) up to 1,8 m (6 ft) for larger varieties.","Agapanthus grows best in fertile, moist and well-drained soil. The pH of the soil is not so important. It can grow in acid, neutral, and alkaline soils.","Full sun, Partial sun",avarage,low
Ageratum (Whiteweed; Flossflower),"<p>Ageratum is a genus of <strong>about</strong> <strong>50 species </strong>of annual plants belonging to the <strong>Asteraceae family</strong>, native to Central America, with a few species found in North America.<br/>
These plants are low-growing and have attractive flowers in lovely blue, purple, red, pink and white. The small clusters of fluffy flowers bloom in summer and fall, making it a wonderful addition to any landscape. And butterflies love them!</p>",Annuals,"The flowers come in shades of blue, purple, red, pink and white.",2-11,"Autumn, Summer",These plants can grow up to 60 cm (2 ft) in height.,"Ageratum prefers moist, but well drained soil, with pH between 5.5 and 7.5.","Full sun, Partial sun",avarage,low
Ajuga (Bugle; Bugleweed),"<p>Ajuga is a genus of <strong>about 70 species </strong>in the <strong>family Lamiaceae</strong>, native to Europe, Africa and western Asia. They are mostly perennials, but some are annuals.<br/>
Ajuga plants have shiny, rounded evergreen leaves and erect stems with small, but attractive flowers. Once established, the plant spreads quickly, making it an ideal ground cover plant for areas with part or full shade.</p>","Annuals, Perennials","The flowers are usually blue, purple and white.",3-10,"Spring, Summer",These plants can grow up to 30 cm (1 ft) tall.,"The plant grows best in moist and well drained soil, with a pH between 4.0 to 6.5. However, it can handle drought and dry soils.","Partial sun, Shade",avarage,low
Alcea (Hollyhock),"<p>Alcea, also known as Hollyhock, is a genus of <strong>about 60 species </strong>in the <strong>family Malvaceae</strong>, native to temperate regions of Europe and Asia. The species are annuals, biennials or perennials.<br/>
Their strong, vertical, and upright stalks rise into the sky like a spear, carrying large, showy and brightly colored flowers. The saucer-shaped, single or double flowers are so impressive it’s hard to believe they’re actually real. It’s no wonder they can add charm and impact to any garden.</p>","Annuals, Perennials","Hollyhock blooms in a rainbow of colors including red, purple, pink, white, yellow and even almost black.",3-9,Summer,Hollyhocks range in height from 60 cm (2 ft) to 3 metres (10 ft) tall.,"Alcea prefers rich and well drained soil, with a pH between 6.0 and 8.0.",Full sun,avarage,hard
Allium (Ornamental Onion),"<p>Allium is a genus of <strong>more than 800 species </strong>of bulbous perennials in the <strong>family Amaryllidaceae</strong>, native to the Northern Hemisphere, but cultivated all over the world.<br/>
These plants come in a broad palette of colors, shapes and sizes. Most Alliums have globe-shaped clusters of flowers in shades of purple, pink, blue, white and yellow. The most common Alliums are edible plants, but also very useful in multiple ornamental settings.</p>","Bulbs, Perennials","Most Alliums come in shades of purple, but there are pink, blue, white and yellow varieties as well.",3-10,"Spring, Summer",Alliums range in size from 15 cm (6 inches) to 180 cm (6 ft) giants.,"Alliums are not fussy about their soil, so long as it is well drained.",Full sun,avarage,low
Alstroemeria (Peruvian lily; Lily of the Incas),"<p>Alstroemeria, also known as Peruvian Lily, is a genus of <strong>about</strong> <strong>60 species </strong>of perennials in the<strong> family Alstroemeriaceae</strong>, native to South America.<br/>
This tropical beauty has long stems bearing attractive, trumpet-shaped flowers in a wide range of colors. The flower is composed of 3 petals and 3 sepals, similar in color and texture, giving the appearance of a six-petaled flower.</p>","Bulbs, Perennials","The flowers come in various colors, from orange, pink, rose, purple, red to yellow and white.",5-11,"Autumn, Summer",The species range from dwarf species (20 cm or 8 inches tall) to the larger varieties that grow up to 120 cm or 4 ft in height.,"The plant grows best in fertile, moist and well drained soil which is neutral or slightly acidic.","Full sun, Partial sun",avarage,low
Amaryllis (Amaryllis),"<p>Amaryllis is a genus of two species of flowering bulbs – Amaryllis belladonna and Amaryllis paradisicola. These <strong>two species </strong>belong to the<strong> Amaryllidaceae family </strong>and are native to South Africa.<br/>
They produce fragrant, trumpet-shaped flowers on top of tall stems. These plants are attractive to butterflies, birds and bees and lovely as cut flowers.</p>","Bulbs, Perennials",The flower color is usually some shade of pink and sometimes even white.,7-10,"Autumn, Summer",Amaryllis has stem that can reach 30 - 90 cm (1-3 ft) in height and each flower is 6-11 cm (2-4 inches) in diameter.,Amaryllis grows best in well drained and slightly acidic soil.,"Full sun, Partial sun",avarage,low
Amsonia (Blue Star),"<p>Amsonia is a genus of <strong>about 20 species</strong> of perennials in the <strong>family Apocynaceae</strong>, mainly native to North America.<br/>
Amsonia has star-shaped flowers and multiple leafy stems growing from a semi-woody rootstock. The flowers are tubular at the base, with five sharply pointed petals. Amsonia can be used as a single specimen plant or in mass plantings. These plants look handsome in a perennial garden bed, as a border plant or in a cottage garden. They are also beneficial in attracting bees and hummingbirds to your garden. Not only are they easy to grow, but these plants are easy to care for as well.</p>",Perennials,"The flowers are usually white but may be blue, pink and purple.",3-9,"Spring, Summer","These plants grow up to 120 cm (4 ft) tall, depending on the variety. There are also dwarf varieties that only reach 10 cm (4 inches) in height.","Amsonia prefers rich, moist and well-drained soil. The ideal soil pH is between 6.0 and 7.0.","Full sun, Partial sun",avarage,low
